id,coucodiso,stopidszdc,namesinwri,fixrouidci,zastid,zastx,zasty,altname,loc_type,X
389,CZ,35875,Rohatec,xxxx0000100A,910,17.1987762199046,48.8926737105341,,S1,-558693
1697,CZ,34675,Kyjov,xxxx0001618A,911,17.123355105896,49.0162209646227,,S1,-562812
1695,CZ,36835,Vlkoš,xxxx0001618A,912,17.1666003630316,48.9880294174896,,S1,-559978
19,CZ,34355,Komořany u Vyškova,xKADR034537B,913,16.8993421334922,49.2158687063086,,S1,-576810
1704,CZ,33505,Bučovice,xxxx0001618A,914,16.9997912096499,49.1457347718414,,S1,-570329
1702,CZ,35265,Nesovice,xxxx0001618A,916,17.0803011899112,49.1491107774049,,S1,-564448
1700,CZ,35245,Nemotice,xxxx0001618A,917,17.1141745033437,49.1331671863791,,S1,-562169
2122,CZ,37085,Sudoměřice nad Moravou,xxxx0002700A,918,17.2433367902796,48.8717115763844,,S1,-555672
390,CZ,36175,Bzenec přívoz,xxxx0000100A,919,17.2896398228092,48.9366626758686,,S1,-551581
2120,CZ,37095,Strážnice,xxxx0002700A,920,17.3184807740167,48.8976863782203,,S1,-549904
1169,CZ,36795,Veselí nad Moravou,xxxx0000892A,921,17.3821547987022,48.9490308145191,,S1,-544702
1693,CZ,33615,Bzenec,xxxx0001618A,922,17.2631504813543,48.9693004705508,,S1,-553154
391,CZ,35125,Moravský Písek,xxxx0000100A,923,17.3143448406113,48.9772971953003,,S1,-549336
393,CZ,35205,Nedakonice,xxxx0000100A,924,17.3753747640873,49.03249756369,,S1,-544293
2116,CZ,37135,Lipov,xxxx0002700A,925,17.4578929281702,48.9096243137101,,S1,-539603
2114,CZ,37145,Velká nad Veličkou,xxxx0002700A,926,17.5109011656508,48.8789789757706,,S1,-536062
1171,CZ,35495,Uherský Ostroh,xxxx0000892A,927,17.4034246588555,48.9819458093561,,S1,-542797
1172,CZ,35555,Ostrožská Nová Ves,xxxx0000892A,928,17.4365549757134,49.0097669915035,,S1,-540085
1160,CZ,34595,Kunovice,xxxx0000880A,930,17.4700640222945,49.0517310912877,,S1,-537196
1161,CZ,36575,Uherské Hradiště,xxxx0000880A,931,17.4575030593304,49.0668628812694,,S1,-537948
396,CZ,34025,Huštěnovice,xxxx0000100A,932,17.4651975788996,49.1150457899966,,S1,-536873
1157,CZ,33895,Hradčovice,xxxx0000880A,933,17.5746650218592,49.0443130005813,,S1,-529664
397,CZ,35195,Spytihněv,xxxx0000100A,934,17.4948900431625,49.1421419823909,,S1,-534427
398,CZ,35185,Napajedla,xxxx0000100A,935,17.5047757333754,49.1631103952448,,S1,-533486
399,CZ,35575,Otrokovice,xxxx0000100A,936,17.531655931807,49.2025192651995,,S1,-531117
1155,CZ,36585,Uherský Brod,xxxx0000880A,937,17.6436150318764,49.0217900025232,,S1,-524881
1154,CZ,36615,Újezdec u Luhačovic,xxxx0000880A,938,17.6851926565141,49.0328352739975,,S1,-521740
1304,CZ,35365,Nezdenice,xxxx0001060A,939,17.748872969407,49.0221709655319,,S1,-517213
